date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-11-30,Spain,Scotland,8,0,FIFA World Cup qualification,Seville,Spain,False
2022-02-16,Zambia,Namibia,0,0,African Cup of Nations qualification,Lusaka,Zambia,False
2022-02-17,Germany,Spain,1,1,Arnold Clark Cup,Middlesbrough,England,True
2022-02-20,England,Spain,0,0,Arnold Clark Cup,Norwich,England,False
2022-02-22,Namibia,Zambia,1,1,African Cup of Nations qualification,Johannesburg,South Africa,True
2022-02-23,Spain,Canada,1,0,Arnold Clark Cup,Wolverhampton,England,True
2022-04-12,Scotland,Spain,0,2,FIFA World Cup qualification,Glasgow,Scotland,False
2022-07-03,Cameroon,Zambia,0,0,African Cup of Nations,Casablanca,Morocco,True
2022-07-06,Zambia,Tunisia,1,0,African Cup of Nations,Casablanca,Morocco,True
2022-07-08,Spain,Finland,4,1,UEFA Euro,Milton Keynes,England,True
2022-07-09,Zambia,Togo,4,1,African Cup of Nations,Rabat,Morocco,True
2022-07-12,Germany,Spain,2,0,UEFA Euro,London,England,True
2022-07-13,Zambia,Senegal,1,1,African Cup of Nations,Casablanca,Morocco,True
2022-07-16,Denmark,Spain,0,1,UEFA Euro,London,England,True
2022-07-18,Zambia,South Africa,0,1,African Cup of Nations,Casablanca,Morocco,True
2022-07-20,England,Spain,2,1,UEFA Euro,Brighton and Hove,England,False
2022-07-22,Nigeria,Zambia,0,1,African Cup of Nations,Casablanca,Morocco,True
2022-09-02,Spain,Hungary,3,0,FIFA World Cup qualification,Las Rozas de Madrid,Spain,False
2022-09-06,Spain,Ukraine,5,0,FIFA World Cup qualification,Las Rozas de Madrid,Spain,False
2023-02-16,Spain,Jamaica,3,0,Cup of Nations,Gosford,Australia,True
2023-02-18,Zambia,Slovenia,0,1,Turkish Women's Cup,Alanya,Turkey,True
2023-02-19,Australia,Spain,3,2,Cup of Nations,Sydney,Australia,False
2023-02-21,Uzbekistan,Zambia,0,4,Turkish Women's Cup,Alanya,Turkey,True
2023-02-22,Czech Republic,Spain,0,3,Cup of Nations,Newcastle,Australia,True
